DISCOUNT_ITEM_ID|DISCOUNT_ITEM_TYPE|DISCOUNT_ITEM_VALUE|CONDITION_ID
1664365|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1664366|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1664367|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664368|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664369|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664370|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664371|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664372|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1610483|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610484|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610491|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1610492|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1610493|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610494|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610495|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1610496|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1610497|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1610498|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1610499|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1610500|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1610501|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1610502|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1610503|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1610504|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1610505|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1610506|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1610529|1|HPN;R  ;NAULP    ;*;*;*;*;R;*;*;|134984
1610530|1|HPN;R  ;WLDUN    ;*;*;*;*;R;*;*;|134984
1610531|1|HPN;R  ;PUNUN    ;*;*;*;*;R;*;*;|134984
1610532|1|HPN;R  ;WLDUN    ;*;*;*;*;R;*;*;|134984
1610533|1|HPN;R  ;PUNUN    ;*;*;*;*;R;*;*;|134984
1610565|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1610566|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1610567|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610568|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610573|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1610574|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1610575|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610576|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610577|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1610578|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1610579|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610580|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610581|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1610582|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1610583|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1610584|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1610585|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
